id,campaign_type,channel,topic,started_at,finished_at,total_count,ab_test,warmup_mode,hour_limit,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout,is_test,position
219,bulk,mobile_push,,2021-05-26 15:00:09.904258,2021-05-26 15:00:27,26418,,False,,117.0,False,False,True,False,False,False,,
230,bulk,email,sale out,2021-05-27 08:00:10.980791,2021-05-27 10:35:06,651859,,False,,115.0,False,False,True,False,False,False,,
231,bulk,mobile_push,sale out,2021-05-27 13:00:10.254783,2021-05-27 13:00:46,93204,,False,,32.0,False,False,True,False,False,False,,
257,bulk,mobile_push,sale out,2021-05-28 13:00:10.205631,2021-05-28 13:01:13,147911,,False,,164.0,False,False,True,False,False,False,,
258,bulk,mobile_push,sale out,2021-05-30 09:00:10.005651,2021-05-31 06:27:46,146355,,False,,164.0,False,False,True,False,False,False,,
289,bulk,email,sale out,2021-06-04 08:24:44.565692,2021-06-04 08:34:35,60332,,False,,93.0,False,False,True,False,False,False,,
296,bulk,email,sale out,2021-06-03 09:33:06.368487,2021-06-03 12:30:08,231972,,False,,129.0,False,False,True,False,False,True,,
297,bulk,email,sale out,2021-06-07 09:00:11.081690,2021-06-07 09:23:55,135106,,False,,109.0,False,False,True,False,False,False,,
298,bulk,mobile_push,sale out,2021-06-03 13:00:09.723824,2021-06-03 13:00:46,67174,,False,,38.0,False,False,True,False,False,False,,
308,bulk,mobile_push,sale out,2021-06-04 12:00:10.267618,2021-06-04 12:00:28,43152,,False,,34.0,False,False,True,False,False,False,,
321,bulk,email,sale out,2021-06-04 09:46:01.763109,2021-06-04 09:46:12,2,,False,,93.0,False,False,True,False,False,False,,
337,bulk,email,event,2021-06-09 10:30:08.275903,2021-06-09 10:30:51,6582,,False,,106.0,False,False,True,False,False,False,,
354,bulk,email,sale out,2021-06-16 08:00:11.969269,2021-06-16 08:08:48,50565,,False,,117.0,False,False,True,False,False,False,,
355,bulk,mobile_push,event,2021-06-09 10:45:07.874283,2021-06-09 10:45:13,1815,,False,,96.0,False,False,True,False,False,False,,
361,bulk,email,sale out,2021-06-11 08:00:12.203870,2021-06-11 08:10:22,59475,,False,,87.0,False,True,True,False,False,False,,
366,bulk,email,sale out,2021-06-10 08:28:34.471796,2021-06-10 10:19:05,160689,,False,,85.0,False,False,True,False,False,False,,
368,bulk,mobile_push,sale out,2021-06-11 10:00:11.717483,2021-06-11 10:00:22,16027,,False,,117.0,False,False,True,False,False,False,,
372,bulk,mobile_push,sale out,2021-06-10 13:00:10.520899,2021-06-10 13:00:21,24425,,False,,119.0,False,False,True,False,True,False,,
373,bulk,mobile_push,sale out,2021-06-11 14:00:11.427774,2021-06-14 06:00:54,2532,,False,,111.0,False,False,True,False,False,False,,
374,bulk,email,sale out,2021-06-09 14:15:49.003420,2021-06-09 14:15:59,3,,False,,85.0,False,False,True,False,False,False,,
375,bulk,email,sale out,2021-06-09 14:21:16.588926,2021-06-09 14:21:25,4,,False,,85.0,False,False,True,False,False,False,,
376,bulk,email,sale out,2021-06-10 07:12:39.315340,2021-06-10 07:17:29,1,,False,,85.0,False,False,True,False,False,False,,
381,bulk,email,sale out,2021-06-10 08:10:36.944182,2021-06-10 08:10:48,3,,False,,85.0,False,False,True,False,False,False,,
400,bulk,email,,2021-06-15 13:53:30.414556,2021-06-15 13:53:39,4,,False,,18.0,False,False,False,False,False,False,,
409,bulk,mobile_push,sale out,2021-06-16 14:00:11.742552,2021-06-16 14:00:19,7243,,False,,105.0,False,False,True,False,False,False,,
412,bulk,email,sale out,2021-06-17 08:30:09.330131,2021-06-17 09:06:12,208042,,False,,91.0,True,False,True,False,True,False,,
413,bulk,mobile_push,sale out,2021-06-17 14:00:11.839773,2021-06-17 14:00:47,39569,,False,,131.0,False,False,True,False,False,False,,
431,bulk,email,event,2021-06-22 09:00:10.196508,2021-06-22 09:01:13,6559,,False,,102.0,False,False,True,False,False,False,,
446,bulk,email,sale out,2021-06-23 07:14:33.743690,2021-06-23 07:21:34,41456,,False,,108.0,False,False,True,False,False,False,,
451,bulk,email,sale out,2021-06-22 08:21:11.419950,2021-06-22 08:21:19,4,,False,,108.0,False,False,True,False,False,False,,
453,bulk,mobile_push,event,2021-06-23 10:30:09.638073,2021-06-23 10:30:16,1848,,False,,96.0,False,False,True,False,False,False,,
455,bulk,mobile_push,sale out,2021-06-23 13:00:10.602299,2021-06-23 13:00:22,16291,,False,,111.0,False,False,True,False,False,False,,
461,bulk,email,sale out,2021-06-24 09:00:10.801006,2021-06-24 09:31:13,217109,,False,,136.0,False,False,True,False,False,False,,
478,bulk,mobile_push,sale out,2021-06-24 11:00:12.578013,2021-06-24 11:00:32,43968,,False,,37.0,False,False,True,False,False,False,,
494,bulk,email,sale out,2021-06-28 12:49:32.853318,2021-06-28 13:34:51,50363,,False,,94.0,False,False,True,False,False,False,,
500,bulk,email,sale out,2021-07-01 08:30:09.827766,2021-07-01 09:50:03,607634,,False,,102.0,False,False,True,False,False,True,,
509,bulk,mobile_push,sale out,2021-06-28 14:00:11.660462,2021-06-28 14:00:45,62734,,False,,94.0,False,False,True,False,False,False,,
510,bulk,email,sale out,2021-06-29 09:00:11.257858,2021-06-29 09:36:17,252294,,False,,115.0,False,False,True,False,False,False,,
514,bulk,email,sale out,2021-06-30 09:39:56.982528,2021-06-30 09:56:15,114167,,False,,130.0,False,False,True,False,False,False,,
515,bulk,mobile_push,sale out,2021-06-29 14:00:13.752337,2021-06-29 17:02:36,613004,,True,200000,126.0,False,False,True,False,False,False,,
522,bulk,mobile_push,sale out,2021-06-30 13:00:11.568026,2021-06-30 13:00:20,6607,,False,,106.0,False,False,True,False,False,True,,
536,bulk,email,sale out,2021-07-02 09:49:14.010528,2021-07-02 10:03:58,123279,,False,,120.0,False,False,True,False,True,False,,
539,bulk,mobile_push,sale out,2021-07-01 14:03:40.647359,,253565,,False,,23.0,False,False,True,False,False,False,,
540,bulk,mobile_push,sale out,2021-07-01 15:00:11.652469,2021-07-01 15:02:19,305573,,False,,23.0,False,False,True,False,False,False,,
547,bulk,email,sale out,2021-07-05 08:15:08.420987,2021-07-05 08:31:00,135002,,False,,98.0,False,False,True,False,False,False,,
548,bulk,email,event,2021-07-06 08:15:09.115602,2021-07-06 08:15:53,6530,,False,,107.0,False,False,True,False,False,False,,
560,bulk,mobile_push,sale out,2021-07-05 12:00:11.705184,2021-07-05 12:02:44,412288,,False,,110.0,False,False,True,False,False,False,,
563,bulk,email,sale out,2021-07-07 08:00:12.954035,2021-07-07 08:11:13,92798,,False,,100.0,False,False,True,False,False,False,,
567,bulk,mobile_push,event,2021-07-07 10:30:09.251725,2021-07-07 10:30:15,1772,,False,,96.0,False,False,True,False,False,False,,
577,bulk,email,sale out,2021-07-22 08:04:07.731336,2021-07-22 08:41:45,320174,True,False,,96.0,False,False,True,False,False,False,,
585,bulk,email,sale out,2021-07-09 12:30:09.672269,2021-07-09 12:37:00,58309,,False,,128.0,False,False,True,False,False,False,,
591,bulk,email,sale out,2021-07-08 09:27:58.374495,2021-07-08 09:28:07,1,,False,,84.0,False,False,True,False,False,False,,
594,bulk,email,sale out,2021-07-12 08:00:13.089085,2021-07-12 08:11:09,93601,,False,,104.0,False,False,True,False,False,False,,
600,bulk,mobile_push,sale out,2021-07-09 15:00:11.905547,2021-07-09 15:03:04,480945,,False,,108.0,False,False,True,False,False,False,,
601,bulk,email,sale out,2021-07-09 12:20:10.982522,2021-07-09 12:20:24,1,,False,,128.0,False,False,True,False,False,False,,
602,bulk,email,sale out,2021-07-13 08:00:13.881017,2021-07-13 08:11:05,92833,,False,,98.0,False,False,True,False,False,False,,
618,bulk,email,sale out,2021-07-14 08:23:00.573426,2021-07-14 08:36:51,118565,,False,,131.0,False,False,True,False,False,False,,
620,bulk,mobile_push,sale out,2021-07-12 13:59:35.860701,2021-07-12 14:01:12,301806,,False,,23.0,False,False,True,False,False,False,,
622,bulk,email,sale out,2021-07-15 08:02:13.249740,2021-07-15 08:23:58,185976,,False,,104.0,False,False,True,False,False,False,,
634,bulk,email,sale out,2021-07-16 07:00:12.615852,2021-07-16 07:11:34,96939,,False,,129.0,False,True,True,False,False,False,,
638,bulk,mobile_push,sale out,2021-07-13 15:00:12.334601,2021-07-13 15:04:52,291721,,False,,24.0,False,False,True,False,False,False,,
655,bulk,email,sale out,2021-07-14 09:35:15.860381,2021-07-14 09:35:24,1,,False,,124.0,False,True,True,False,False,False,,
657,bulk,email,sale out,2021-07-19 08:00:12.592164,2021-07-19 08:10:55,91587,,False,,110.0,False,False,True,False,False,False,,
660,bulk,mobile_push,sale out,2021-07-14 14:00:11.586024,2021-07-14 14:07:52,478913,,False,,26.0,False,False,True,False,False,False,,
673,bulk,email,event,2021-07-20 09:00:12.402160,2021-07-20 09:00:59,6506,,False,,128.0,False,True,True,False,False,False,,
675,bulk,email,event,2021-07-21 09:00:11.956320,2021-07-21 09:00:56,6496,,False,,160.0,False,False,True,False,False,False,,
676,bulk,email,,,,,True,False,,91.0,False,False,True,False,False,False,,
679,bulk,mobile_push,sale out,2021-07-16 17:00:11.250856,2021-07-16 17:05:26,487024,,False,,28.0,False,False,True,False,False,False,,
693,bulk,email,sale out,2021-07-21 06:15:08.824500,2021-07-21 06:29:32,122752,,False,,126.0,False,False,True,False,False,True,,
702,bulk,mobile_push,sale out,2021-07-19 16:00:11.685444,2021-07-19 16:11:52,568816,,False,,28.0,False,False,True,False,False,False,,
706,bulk,mobile_push,sale out,2021-07-21 16:00:11.710123,2021-07-21 16:04:05,496535,,False,,25.0,False,False,True,False,False,True,,
708,bulk,mobile_push,event,2021-07-21 10:45:08.716535,2021-07-21 10:45:14,1758,,False,,128.0,False,False,True,False,False,False,,
721,bulk,email,sale out,2021-07-23 06:56:49.203944,2021-07-23 07:11:14,122868,True,False,,124.0,False,False,True,False,False,False,,
722,bulk,email,,,,,True,False,,107.0,False,False,True,False,False,False,,
730,bulk,mobile_push,sale out,2021-07-23 15:00:11.574012,2021-07-23 15:03:58,279416,,False,,31.0,False,False,True,False,True,False,,
732,bulk,email,sale out,2021-07-26 08:00:13.144596,2021-07-26 08:15:42,131583,,False,,92.0,False,False,True,False,False,False,,
734,bulk,email,sale out,2021-07-23 13:51:36.332646,2021-07-23 13:51:41,5,,False,,92.0,False,False,True,False,False,False,,
735,bulk,email,sale out,2021-07-23 14:27:02.792658,2021-07-23 14:27:08,5,,False,,92.0,False,False,True,False,False,False,,
742,bulk,email,sale out,2021-07-27 09:00:12.504114,2021-07-27 09:12:22,115019,,False,,100.0,False,False,True,False,False,False,,
743,bulk,mobile_push,sale out,2021-07-26 14:00:12.717302,2021-07-26 14:04:32,583313,,False,,18.0,False,False,True,False,False,False,,
752,bulk,mobile_push,sale out,2021-07-27 15:00:13.812040,2021-07-27 15:01:45,300297,,False,,33.0,False,False,True,False,False,False,,
754,bulk,email,sale out,2021-07-28 07:00:14.409889,,131529,,False,,116.0,False,False,True,False,False,False,,
763,bulk,email,sale out,2021-07-28 09:00:08.720620,2021-07-28 09:02:03,16327,,False,,116.0,False,False,True,False,False,False,,
764,bulk,email,sale out,2021-08-05 06:00:13.495823,2021-08-05 07:14:10,303852,,False,,116.0,False,False,True,False,False,False,,
766,bulk,email,sale out,2021-07-30 09:00:13.634198,2021-07-30 09:46:01,127090,,False,,128.0,False,False,True,False,False,False,,
783,bulk,email,sale out,2021-08-02 09:15:09.258762,2021-08-02 11:57:48,1194549,,False,,118.0,False,False,True,False,False,False,,
801,bulk,email,event,2021-08-03 09:00:13.304611,2021-08-03 09:01:04,6472,,False,,128.0,False,True,True,False,False,False,,
803,bulk,email,event,2021-08-04 09:00:12.076501,2021-08-04 09:00:56,6462,,False,,154.0,False,False,True,False,False,False,,
813,bulk,mobile_push,event,2021-08-04 10:45:09.402374,2021-08-04 10:45:15,1824,,False,,128.0,False,False,True,False,False,False,,
817,bulk,email,sale out,2021-08-06 08:12:04.465130,2021-08-06 08:39:43,261119,,False,,116.0,False,False,True,False,False,False,,
822,bulk,mobile_push,sale out,2021-08-05 08:00:13.741018,2021-08-05 08:00:36,80552,,False,,29.0,False,False,True,False,False,False,,
833,bulk,email,sale out,2021-08-09 09:00:11.544956,2021-08-09 09:19:22,169985,,False,,106.0,True,False,True,False,True,False,,
849,bulk,email,sale out,2021-08-10 09:43:14.193508,2021-08-10 10:46:27,1139543,,False,,120.0,False,False,True,False,False,False,,
856,bulk,email,sale out,2021-08-11 09:00:12.092357,2021-08-11 09:11:20,162718,,False,,101.0,False,False,True,False,False,False,,
862,bulk,email,event,2021-08-17 09:33:42.583053,2021-08-17 09:34:09,6430,,False,,128.0,False,True,True,False,False,False,,
863,bulk,email,event,2021-08-18 09:00:11.998759,2021-08-18 09:00:40,6421,,False,,154.0,False,False,True,False,False,False,,
868,bulk,email,sale out,2021-08-12 07:00:12.613231,2021-08-12 07:17:49,333473,,False,,118.0,False,False,True,False,False,False,,
874,bulk,email,sale out,2021-08-13 09:00:12.239651,2021-08-13 09:02:24,32445,,False,,108.0,False,False,True,False,True,False,,
907,bulk,email,sale out,2021-08-18 07:04:59.854620,2021-08-18 07:19:24,221126,,False,,126.0,False,False,True,False,False,False,,
908,bulk,email,sale out,2021-08-17 07:14:47.929938,2021-08-17 07:36:49,339354,,False,,102.0,False,False,True,False,False,False,,
926,bulk,mobile_push,event,2021-08-18 10:45:08.827127,2021-08-18 10:45:15,1859,,False,,128.0,False,False,True,False,False,False,,
928,bulk,mobile_push,sale out,2021-08-17 11:00:13.199444,2021-08-17 11:00:31,18831,,False,,28.0,False,False,True,False,True,False,,
938,bulk,email,sale out,2021-08-19 11:00:13.655094,2021-08-19 11:17:12,307379,,False,,106.0,False,False,True,False,False,False,,
952,bulk,email,sale out,2021-08-19 07:00:39.684750,2021-08-19 07:13:22,190390,,False,,126.0,False,False,True,False,True,False,,
965,bulk,email,sale out,2021-08-20 11:48:21.883210,2021-08-20 12:01:18,184868,,False,,142.0,False,True,True,False,False,False,,
992,bulk,email,sale out,2021-08-24 10:12:31.983679,2021-08-24 11:26:53,1151532,,False,,106.0,False,True,True,False,False,False,,
998,bulk,email,sale out,2021-08-25 09:30:22.016106,2021-08-25 09:46:20,225308,,False,,144.0,False,False,True,False,False,False,,
1000,bulk,email,sale out,2021-08-24 09:51:01.507780,2021-08-24 09:51:14,1,,False,,144.0,False,False,True,False,False,False,,
1001,bulk,email,sale out,2021-08-26 13:29:27.456430,2021-08-26 13:32:33,46948,,False,,97.0,False,False,True,False,False,False,,
1010,bulk,email,sale out,2021-08-25 09:21:47.175637,2021-08-25 09:21:55,2,,False,,97.0,False,False,True,False,False,False,,
1011,bulk,email,sale out,2021-08-26 09:42:06.860457,2021-08-26 09:58:13,291141,,False,,114.0,False,False,True,False,False,False,,
1020,bulk,email,sale out,2021-08-27 09:00:13.820927,2021-08-27 09:13:57,246708,,False,,90.0,False,False,True,False,False,False,,
1026,bulk,email,sale out,2021-08-26 11:42:42.984180,2021-08-26 11:42:53,2,,False,,90.0,False,False,True,False,False,False,,
1030,bulk,mobile_push,event,2021-08-27 10:45:09.288283,2021-08-27 10:45:16,1860,,False,,128.0,False,False,True,False,False,False,,
1048,bulk,email,sale out,2021-08-31 08:03:44.544034,2021-08-31 08:18:07,299700,,False,,128.0,False,False,True,False,False,False,,
1072,bulk,email,sale out,2021-09-01 08:30:10.330781,2021-09-01 08:47:56,291429,,False,,98.0,False,False,True,False,False,False,,
1080,bulk,email,sale out,2021-09-02 10:00:13.083302,2021-09-02 10:03:22,46958,,False,,143.0,False,False,True,False,False,False,,
1099,bulk,email,sale out,2021-09-03 10:35:43.776111,2021-09-03 10:55:45,307452,,False,,126.0,True,False,True,False,True,False,,
1102,bulk,email,sale out,2021-09-02 11:36:02.797028,2021-09-02 11:36:13,1,,False,,126.0,True,False,True,False,True,False,,
1107,bulk,email,sale out,2021-09-07 08:00:15.140141,2021-09-07 08:11:19,210109,,False,,112.0,False,False,True,False,False,False,,
1139,bulk,mobile_push,event,2021-09-17 10:45:09.429395,2021-09-17 10:45:15,1886,,False,,128.0,False,False,True,False,False,False,,
1140,bulk,email,sale out,2021-09-10 07:27:38.065373,2021-09-10 07:47:00,301947,,False,,82.0,False,False,True,False,False,False,,
1148,bulk,email,sale out,2021-09-09 09:22:12.044275,2021-09-09 09:25:55,56029,,False,,114.0,False,False,True,False,False,False,,
1151,bulk,email,sale out,2021-09-08 08:21:39.995684,2021-09-08 08:21:48,1,,False,,114.0,False,False,True,False,False,False,,
1167,bulk,mobile_push,event,2021-09-23 10:45:09.135818,2021-09-23 10:45:15,1846,,False,,128.0,False,False,True,False,False,False,,
1170,bulk,email,sale out,2021-09-10 08:00:46.586870,2021-09-10 08:00:55,1,,False,,114.0,False,False,True,False,False,False,,
1204,bulk,email,sale out,2021-10-05 07:00:14.643367,2021-10-05 08:09:33,1109457,,False,,110.0,False,False,True,False,False,False,,
1205,bulk,email,sale out,2021-09-15 08:00:13.960284,2021-09-15 08:13:26,211190,,False,,98.0,True,False,True,False,True,False,,
1212,bulk,email,sale out,2021-09-16 08:00:13.924658,2021-09-16 08:08:36,130386,,False,,114.0,False,False,True,False,False,True,,
1226,bulk,mobile_push,event,2021-10-05 10:45:09.530154,2021-10-05 10:45:16,1884,,False,,128.0,False,False,True,False,False,False,,
1227,bulk,mobile_push,sale out,2021-09-16 09:49:49.765428,2021-09-16 09:50:18,47593,,False,,90.0,True,False,True,False,True,False,,
1240,bulk,email,sale out,2021-09-17 07:00:15.237840,2021-09-17 07:22:52,302724,,False,,124.0,True,False,True,False,True,False,,
1247,bulk,mobile_push,sale out,2021-09-16 17:00:12.516070,2021-09-16 17:00:47,89124,,False,,28.0,False,False,True,False,False,True,,
1255,bulk,email,sale out,2021-09-16 13:54:05.680955,2021-09-16 13:54:15,2,,False,,124.0,True,False,True,False,True,False,,
1256,bulk,mobile_push,sale out,2021-09-17 12:00:13.020581,2021-09-17 12:01:22,181314,,False,,100.0,False,False,True,False,False,False,,
1294,bulk,email,sale out,2021-09-21 07:00:15.012909,2021-09-21 07:24:53,310123,,False,,118.0,False,False,True,False,False,False,,
1296,bulk,email,sale out,2021-09-20 11:37:32.408572,2021-09-20 11:37:44,3,,False,,118.0,False,False,True,False,False,False,,
1303,bulk,email,sale out,2021-09-21 08:47:19.870338,2021-09-21 08:47:28,5,,False,,110.0,False,False,True,False,False,False,,
1306,bulk,mobile_push,sale out,2021-09-21 14:00:14.137718,2021-09-21 14:01:08,162863,,False,,100.0,False,False,True,False,False,True,,
1318,bulk,email,sale out,2021-09-23 08:23:19.544712,2021-09-23 08:24:32,18491,True,False,,114.0,False,False,True,False,False,False,,
1319,bulk,email,,,,,True,False,,114.0,False,False,True,False,False,False,,
1330,bulk,email,sale out,2021-09-24 07:11:36.939943,2021-09-24 07:35:05,309902,,False,,126.0,True,False,True,False,True,False,,
1331,bulk,email,sale out,2021-09-23 09:18:26.605316,2021-09-23 09:18:34,5,,False,,126.0,True,False,True,False,True,False,,
1336,bulk,mobile_push,sale out,2021-09-24 12:00:13.408395,2021-09-24 12:00:58,155075,,False,,100.0,False,False,True,False,False,False,,
1358,bulk,email,sale out,2021-09-28 06:46:01.504609,2021-09-28 07:49:35,831162,,False,,110.0,False,False,True,False,False,False,,
1361,bulk,mobile_push,offer after purchase,2021-09-27 14:08:53.714962,2021-09-27 14:09:00,493,,False,,92.0,False,False,True,False,False,False,,
1362,bulk,mobile_push,offer after purchase,2021-09-27 14:11:16.862994,2021-09-27 14:11:22,480,,False,,92.0,False,False,True,False,False,False,,
1372,bulk,mobile_push,offer after purchase,2021-09-28 08:00:14.567937,2021-09-28 08:00:22,437,,False,,92.0,False,False,True,False,False,False,,
1376,bulk,mobile_push,sale out,2021-09-28 14:00:12.728872,2021-09-28 14:01:08,153282,,False,,98.0,False,False,True,False,False,False,,
1378,bulk,email,sale out,2021-09-29 07:00:14.611390,2021-09-29 07:37:44,534724,,False,,100.0,False,False,True,False,False,False,,
1382,bulk,mobile_push,offer after purchase,2021-09-29 08:00:14.974362,2021-09-29 08:00:25,405,,False,,92.0,False,False,True,False,False,False,,
1391,bulk,email,sale out,2021-09-30 07:14:59.715727,2021-09-30 07:19:52,49011,,False,,108.0,False,False,True,False,False,False,,
1408,bulk,mobile_push,offer after purchase,2021-09-30 08:21:30.013455,2021-09-30 08:21:37,358,,False,,92.0,False,False,True,False,False,False,,
1409,bulk,email,sale out,2021-10-01 08:57:52.652762,2021-10-01 10:03:17,619897,,False,,114.0,False,False,True,False,False,False,,
1410,bulk,mobile_push,sale out,2021-09-30 15:00:12.309956,2021-09-30 15:00:55,74717,,False,,17.0,False,False,True,False,False,False,,
1411,bulk,email,sale out,2021-09-30 10:12:19.696858,2021-09-30 10:12:30,5,,False,,114.0,False,False,True,False,False,False,,
1423,bulk,mobile_push,offer after purchase,2021-10-01 09:00:13.086916,2021-10-01 09:00:25,399,,False,,92.0,False,False,True,False,False,False,,
1425,bulk,mobile_push,sale out,2021-10-01 15:00:13.829300,2021-10-01 15:00:58,146693,,False,,100.0,False,False,True,False,False,False,,
1455,bulk,mobile_push,offer after purchase,2021-10-05 08:15:09.322583,2021-10-05 08:15:16,219,,False,,92.0,False,False,True,False,False,False,,
1457,bulk,email,sale out,2021-10-06 07:52:19.975376,2021-10-06 08:18:59,331902,,False,,98.0,False,False,True,False,False,False,,
1458,bulk,mobile_push,sale out,2021-10-05 15:00:13.806601,2021-10-05 15:01:10,177858,,False,,98.0,False,False,True,False,False,True,,
1460,bulk,mobile_push,offer after purchase,2021-10-06 08:00:14.856304,2021-10-06 08:00:30,383,,False,,92.0,False,False,True,False,False,False,,
1468,bulk,email,sale out,2021-10-07 08:00:14.324064,2021-10-07 09:37:38,1430852,True,False,,123.0,False,False,True,False,False,True,,
1469,bulk,email,,,,,True,False,,123.0,False,False,True,False,False,True,,
1476,bulk,mobile_push,sale out,2021-10-07 14:00:13.362877,2021-10-07 14:04:40,70955,,False,,28.0,False,False,True,False,False,False,,
1477,bulk,email,sale out,2021-10-08 09:07:47.525819,2021-10-08 10:15:53,450977,,False,,98.0,False,False,True,False,False,True,,
1484,bulk,mobile_push,offer after purchase,2021-10-07 16:00:13.084933,2021-10-07 16:00:20,390,,False,,92.0,False,False,True,False,False,False,,
1487,bulk,mobile_push,offer after purchase,2021-10-08 10:45:09.037249,2021-10-08 10:45:15,456,,False,,92.0,False,False,True,False,False,False,,
1488,bulk,mobile_push,sale out,2021-10-19 15:00:14.205717,2021-10-19 15:01:31,207606,,False,,96.0,False,False,True,False,False,True,,
1508,bulk,email,sale out,2021-10-12 06:59:03.353237,2021-10-12 08:09:35,921103,,False,,112.0,False,False,True,False,False,False,,
1513,bulk,email,sale out,2021-10-11 10:30:39.322825,2021-10-11 10:30:47,5,,False,,112.0,False,False,True,False,False,False,,
1516,bulk,email,sale out,2021-10-11 10:43:43.316461,2021-10-11 10:43:51,5,,False,,112.0,False,False,True,False,False,False,,
1522,bulk,mobile_push,offer after purchase,2021-10-12 08:30:10.394362,2021-10-12 08:30:16,507,,False,,92.0,False,False,True,False,False,False,,
1523,bulk,mobile_push,sale out,2021-10-12 15:00:13.013158,2021-10-12 15:01:01,147826,,False,,104.0,False,False,True,False,False,True,,
1525,bulk,email,sale out,2021-10-13 07:44:19.213706,2021-10-13 07:54:28,139989,,False,,140.0,False,False,True,False,False,True,,
1530,bulk,email,sale out,2021-10-12 12:04:45.612526,2021-10-12 12:04:54,4,,False,,140.0,False,False,True,False,False,True,,
1535,bulk,email,sale out,2021-10-14 09:31:45.704639,2021-10-14 09:41:33,156004,,False,,92.0,False,False,True,False,False,False,,
1539,bulk,mobile_push,offer after purchase,2021-10-13 10:45:09.148216,2021-10-13 10:45:15,478,,False,,92.0,False,False,True,False,False,False,,
1540,bulk,mobile_push,sale out,2021-10-13 15:00:14.135083,2021-10-13 15:01:03,138825,,False,,100.0,False,False,True,False,False,True,,
1553,bulk,email,sale out,2021-10-14 10:16:11.172809,2021-10-14 10:16:21,4,,False,,116.0,False,False,True,False,False,False,,
1556,bulk,mobile_push,sale out,2021-10-14 15:00:13.116079,2021-10-14 15:00:41,73780,,False,,17.0,False,False,True,False,False,False,,
1557,bulk,email,sale out,2021-10-15 07:47:57.390246,2021-10-15 08:17:34,448924,,False,,116.0,False,False,True,False,False,False,,
1568,bulk,mobile_push,offer after purchase,2021-11-11 08:30:10.239434,2021-11-11 08:30:16,884,,False,,92.0,False,False,True,False,False,False,,
1570,bulk,mobile_push,sale out,2021-10-15 15:00:14.012710,2021-10-15 15:01:04,142049,,False,,100.0,False,False,True,False,False,False,,
1573,bulk,email,sale out,2021-10-19 08:08:25.968786,2021-10-19 08:25:47,281690,,False,,108.0,False,False,True,False,False,False,,
1588,bulk,email,sale out,2021-10-22 07:00:15.262970,2021-10-22 08:16:31,910484,,False,,144.0,True,False,True,False,True,False,,
